window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
generated_duration,15,thief,Thief,80,0,0.0,899.6,348707.715,22.2394,193.1398,2899.1448,-2876.9055,-51944.9875,116.6635,0.0,51.5673,0.0,2.2875,3.725,0.0
fixed_30s,16,assassin,Assassin,80,0,0.0,845.65,53699.8775,28.1883,59.6665,3703.4718,-3675.2834,-72015.075,46.6853,61.45,17.5158,0.0,1.1625,0.9375,0.0
generated_duration,16,assassin,Assassin,80,0,0.0,1246.0125,232231.8873,27.7332,63.8218,3703.4718,-3675.7385,-71614.7125,78.012,84.7375,35.9274,0.0,1.775,1.625,0.0
fixed_30s,16,blade_dancer,Blade Dancer,80,0,0.0,701.9875,83418.2623,23.3996,92.687,3703.4718,-3680.0722,-72158.7375,139.8098,0.0,41.1836,0.0,3.2625,0.0,0.0
generated_duration,16,blade_dancer,Blade Dancer,80,0,0.0,1067.8375,218127.0361,24.2177,96.4383,3703.4718,-3679.2541,-71792.8875,219.1779,0.0,90.7377,0.0,4.9,0.0,0.0
fixed_30s,16,shadow,Shadow,80,0,0.0,729.925,32253.1194,24.3308,35.8368,3703.4718,-3679.1409,-72130.8,78.3312,35.282,37.7716,0.0,1.8,0.0,0.0
generated_duration,16,shadow,Shadow,80,0,0.0,1104.9125,115761.5548,24.9374,34.2821,3703.4718,-3678.5344,-71755.8125,123.9851,50.0793,57.3352,0.0,2.8125,0.0,0.0
fixed_30s,16,thief,Thief,80,0,0.0,659.7875,162375.3673,21.9929,180.4171,3703.4718,-3681.4788,-72200.9375,90.9347,0.0,33.8066,0.0,1.525,2.3125,0.0
generated_duration,16,thief,Thief,80,0,0.0,980.75,411404.6125,22.4215,194.0014,3703.4718,-3681.0502,-71879.975,146.3806,0.0,57.7613,0.0,2.3375,3.45,0.0
fixed_30s,17,assassin,Assassin,80,0,0.0,810.9,59667.14,27.03,66.2968,4591.702,-4564.672,-89405.85,37.7676,76.375,17.8039,0.0,1.2375,0.75,0.0
generated_duration,17,assassin,Assassin,80,0,0.0,1185.0,232731.875,26.8158,65.9835,4591.702,-4564.8861,-89031.75,60.2428,115.7125,32.3851,0.0,1.875,1.175,0.0
fixed_30s,17,blade_dancer,Blade Dancer,80,0,0.0,718.475,80383.3244,23.9492,89.3148,4591.702,-4567.7528,-89498.275,109.6997,0.0,51.9589,0.0,3.425,0.0,0.0
